Timestamp,Speed,RPM,Temp,Fuel,FL_Accel,FL_Gyro,FL_Susp,FL_StrainL,FL_StrainR,FR_Accel,FR_Gyro,FR_Susp,FR_StrainL,FR_StrainR,RL_Accel,RL_Gyro,RL_Susp,RL_StrainL,RL_StrainR,RR_Accel,RR_Gyro,RR_Susp,RR_StrainL,RR_StrainR,Pi_Accel,Pi_Gyro
1769900690176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65429.0,46229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1769900690210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65429.0,46229.0,0.0,0.0,13593.0,0.0,0.0,0.0,0.0,58389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1769900690243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65429.0,46229.0,0.0,0.0,13593.0,0.0,0.0,0.0,3.16197E-319,58389.0,47765.0,46229.0,6.3E-322,3.16197E-319,58389.0,47253.0,46485.0,0.0,0.0
1769900690277,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,46229.0,0.0,0.0,13593.0,34965.0,55632.0,0.0,3.16197E-319,58389.0,47765.0,46229.0,6.3E-322,3.16197E-319,58389.0,47253.0,46485.0,0.0,0.0
1769900690311,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,46229.0,0.0,0.0,13593.0,34965.0,55632.0,0.0,3.16197E-319,58389.0,47765.0,46229.0,6.3E-322,3.16197E-319,58389.0,47253.0,46485.0,0.0,0.0
1769900690345,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,37269.0,0.0,0.0,13593.0,34965.0,55632.0,0.0,3.1114E-319,58389.0,48021.0,47253.0,6.3E-322,3.1114E-319,58389.0,47253.0,46741.0,0.0,0.0
1769900690379,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,37269.0,0.0,0.0,13593.0,34965.0,55632.0,0.0,3.1114E-319,58389.0,41877.0,47509.0,6.3E-322,3.1114E-319,58389.0,47253.0,46741.0,0.0,0.0
1769900690412,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,37269.0,0.0,0.0,13593.0,33173.0,24912.0,0.0,3.1114E-319,58389.0,41877.0,47509.0,6.3E-322,3.1114E-319,58389.0,47253.0,46741.0,0.0,0.0
1769900690447,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,37269.0,0.0,0.0,13593.0,33173.0,24912.0,0.0,3.13667E-319,58389.0,45717.0,46741.0,6.3E-322,3.1493E-319,58389.0,46485.0,45205.0,0.0,0.0
1769900690481,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,42645.0,0.0,0.0,13593.0,33173.0,24912.0,0.0,3.13667E-319,58389.0,45717.0,46741.0,6.3E-322,3.1493E-319,58389.0,46485.0,45205.0,0.0,0.0
1769900690515,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,42645.0,0.0,0.0,13593.0,33173.0,24912.0,0.0,3.13667E-319,58389.0,45717.0,46741.0,6.3E-322,3.1493E-319,58389.0,46485.0,45205.0,0.0,0.0
1769900690550,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,42645.0,0.0,0.0,13593.0,33173.0,24912.0,0.0,3.12403E-319,58389.0,44437.0,47765.0,6.3E-322,3.12403E-319,58389.0,45205.0,45973.0,0.0,0.0
1769900690584,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,42645.0,0.0,0.0,13593.0,35221.0,55376.0,0.0,3.12403E-319,58389.0,44437.0,47765.0,6.3E-322,3.12403E-319,58389.0,45205.0,45973.0,0.0,0.0
1769900690619,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,44181.0,0.0,0.0,13593.0,35221.0,55376.0,0.0,3.12403E-319,58389.0,44437.0,47765.0,6.3E-322,3.12403E-319,58389.0,45205.0,45973.0,0.0,0.0
1769900690653,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,44181.0,0.0,0.0,13593.0,35221.0,55376.0,0.0,3.13667E-319,58389.0,47253.0,46485.0,6.3E-322,3.13667E-319,58389.0,47765.0,45205.0,0.0,0.0
1769900690687,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,44181.0,0.0,0.0,13593.0,35221.0,55376.0,0.0,3.13667E-319,58389.0,44437.0,46485.0,6.3E-322,3.13667E-319,58389.0,47765.0,45205.0,0.0,0.0
1769900690721,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,44181.0,0.0,0.0,13593.0,34965.0,23120.0,0.0,3.13667E-319,58389.0,44437.0,46485.0,6.3E-322,3.13667E-319,58389.0,47765.0,45205.0,0.0,0.0
1769900690755,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,44181.0,0.0,0.0,13593.0,34965.0,23120.0,0.0,3.12403E-319,58389.0,46485.0,46997.0,6.3E-322,3.1493E-319,58389.0,45717.0,45973.0,0.0,0.0
1769900690788,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,52373.0,0.0,0.0,13593.0,34965.0,23120.0,0.0,3.12403E-319,58389.0,46485.0,46997.0,6.3E-322,3.1493E-319,58389.0,45717.0,45973.0,0.0,0.0
1769900690822,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,52373.0,0.0,0.0,13593.0,34965.0,23120.0,0.0,3.12403E-319,58389.0,42645.0,43925.0,6.3E-322,3.1493E-319,58389.0,45717.0,45973.0,0.0,0.0
1769900690856,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,52373.0,0.0,0.0,13593.0,34965.0,23120.0,0.0,3.1493E-319,58389.0,46741.0,46997.0,6.3E-322,3.13667E-319,58389.0,46485.0,47253.0,0.0,0.0
1769900690890,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,52373.0,0.0,0.0,13593.0,35989.0,24144.0,0.0,3.1493E-319,58389.0,46741.0,46997.0,6.3E-322,3.13667E-319,58389.0,46485.0,47253.0,0.0,0.0
1769900690924,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,42389.0,0.0,0.0,13593.0,35989.0,24144.0,0.0,3.1493E-319,58389.0,46741.0,46997.0,6.3E-322,3.13667E-319,58389.0,46485.0,47253.0,0.0,0.0
